case_id,search_model,qna_model,error
Case1,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case2,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case3,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case4,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case5,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case6,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case7,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case8,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case9,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case10,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case11,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case12,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case13,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case14,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case15,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case16,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case17,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case18,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case19,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case20,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case21,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case22,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case23,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case24,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case25,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case26,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case27,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case28,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case29,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case30,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case31,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case32,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case33,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case34,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case35,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case36,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case37,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case38,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case39,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case40,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case41,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case42,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case43,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case44,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case45,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case46,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case47,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case48,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case49,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
Case50,perplexity,perplexity,cannot access local variable 'result_content' where it is not associated with a value
