Case,Question,Predicted,Gold,Score
Case1,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case1,Q1,Not specified,Yes,0
Case1,Q2,Not specified,Yes,0
Case1,Q3,Yes,Yes,1
Case1,Q4,No,Yes,0
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Yes,Yes,1
Case1,Q9_followup,None,Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,Diagnostic,Diagnostic,1
Case1,Q11,Not specified,Yes,0
Case1,Q12,No,No,1
Case1,Q13,Not specified,Yes,0
Case1,Q14,Not listed,Yes,0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 12,Incorrect: 7,Accuracy: 63.16%
