Case,Question,Predicted,Gold,Score
Case1,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case1,Q1,Not specified,Yes,0
Case1,Q2,Not specified,Yes,0
Case1,Q3,Not specified,Yes,0
Case1,Q4,Not specified,Yes,0
Case1,Q5,Not specified,Yes,0
Case1,Q6,No,No,1
Case1,Q7,Not specified,Yes,0
Case1,Q8,Not specified,No,0
Case1,Q9,Not specified,Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,Diagnostic,Diagnostic,1
Case1,Q11,Not specified,Yes,0
Case1,Q12,Not specified,No,0
Case1,Q13,Not specified,Yes,0
Case1,Q14,Not listed,Yes,0
Case1,Q15,No,No,1
Case1,Q16,Not specified,Yes,0
Case1,TOTAL,Correct: 5,Incorrect: 13,Accuracy: 27.78%
