Case,Question,Predicted,Gold,Score
Case46,Q0,Mitochondrial DNA sequencing,Mitochondrial DNA panel (mtDNA panel),0
Case46,Q1,Yes,Yes,1
Case46,Q2,Yes,Yes,1
Case46,Q3,Yes,Yes,1
Case46,Q4,No,Yes,0
Case46,Q5,Yes,Yes,1
Case46,Q6,No,No,1
Case46,Q7,Yes,Yes,1
Case46,Q8,No,No,1
Case46,Q9,Yes,Yes,1
Case46,Q9_followup,Yes,Yes,1
Case46,Q10,No,No,1
Case46,Q10_followup,Diagnostic,Diagnostic,1
Case46,Q11,Yes,Yes,1
Case46,Q12,No,No,1
Case46,Q13,Not specified,Yes,0
Case46,Q14,Not listed,Yes,0
Case46,Q15,No,No,1
Case46,Q16,Yes,Yes,1
Case46,TOTAL,Correct: 15,Incorrect: 4,Accuracy: 78.95%
