case_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_follow_up,Q9,Q10,Q10_follow_up,Q11,Q12,Q13,Q14,Q15,Q16,Q17,match,Q4a,Q4b,Q9a,Q10a,Q14a,Q15a,Q8a,Q8_followup,Q10_followup,Q10_follow-up,Q15_follow-up
Case7,Whole Exome Sequencing (WES),Not specified,Not specified,No,Not specified,Yes,No,No,Yes,Single gene test,Not specified,Yes,Screening,Not specified,Not specified,Yes,Not listed,No,No,Submit a prior authorization request through the UnitedHealthcare Provider Portal.,False,,,,,,,,,,,
Case44,LQTS gene panel testing,Not specified,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical notes and family history, as per Aetna's policy requirements.",False,Yes,ACMG,Yes,Diagnostic,,,,,,,
Case23,BRCA1/2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,"To submit the claim, ensure that the BRCA1/2 genetic test is ordered by a qualified specialist, obtain prior authorization as required by the policy, and include the appropriate CPT code (81211) in the claim submission.",False,Yes,NCCN,No,Diagnostic,81211,"The patient has invasive ductal breast cancer, which is a context covered under the policy.",,,,,
Case25,BRCA1/2 genetic testing,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,No,Yes,Submit prior authorization through the UnitedHealthcare Provider Portal or by phone at 877-303-7736.,False,Yes,NCCN,No,Diagnostic,81162,,,,,,
Case33,BRCA testing,Not specified,No,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Yes,Not listed,No,No,"The policy requires prior authorization through EviCore by Evernorth for certain genetic tests. Genetic counseling is also required prior to testing. The test must be ordered by an appropriate specialist, and the patient's clinical presentation must meet the policy's definition of medical necessity.",False,No,,No,Other,,,,,,,
Case37,BRCA testing,Not specified,No,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Yes,Not listed,No,No,Submit prior authorization request including genetic counseling documentation and medical necessity justification.,False,No,,No,Risk Assessment,,,,,,,
Case42,Mitochondrial DNA panel,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,Not specified,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Not specified,Not specified,False,,,,,,,,,,,
Case34,BRCA testing,Yes,No,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Yes,Yes,No,No,"Submit a precertification request through EviCore by Evernorth, including patient information, ordering provider details, rendering facility details, and supporting clinical information.",False,No,,No,Risk Assessment,81211,,,,,,
Case11,Whole Exome Sequencing (WES),Not specified,Not specified,No,Yes,No,No,No,Yes,,Yes,No,,Not specified,No,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including clinical notes and prior test results, to demonstrate medical necessity as per policy criteria.",False,No,,No,Diagnostic,,,Chromosomal microarray analysis (CMA),,,,
Case14,Whole Genome Sequencing (WGS),Not specified,Yes,Yes,No,Yes,No,Yes,No,,Not specified,No,,Yes,Yes,Not specified,Not listed,No,Yes,"Submit the claim with documentation of medical necessity, including clinical notes, genetic counseling records, and prior genetic test results.",False,,,,,,,,,,,
Case2,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Not specified,No,,Not specified,Yes,Not specified,Not listed,No,Yes,"Submit documentation of medical necessity, including clinical features, previous test results, and how WES will impact treatment.",False,Yes,ACMG,,Diagnostic,,,,,,,
Case9,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Not required,No,Yes,Yes,,Yes,No,,Yes,No,Yes,Yes,No,No,"Submit a precertification request through EviCore by Evernorth, including documentation of medical necessity and prior genetic counseling.",False,Yes,ACMG,No,Diagnostic,81415,,Comparative Genomic Hybridization (CGH)/Chromosomal Microarray Analysis (CMA),,,,
Case1,Whole Exome Sequencing (WES),Not specified,Not specified,Yes,Not specified,Yes,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,Submit a prior authorization request through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,,,,
Case3,Whole exome sequencing (WES),Not specified,Yes,Not specified,Not specified,Yes,No,Not specified,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Not specified,Not specified,False,,,,,,,,,,,
Case49,Cardiomyopathy gene testing,Not specified,No,No,Not specified,Not required,No,No,No,,Not specified,Yes,,Not specified,No,Not specified,Not listed,No,No,Submit prior authorization request through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,,,,
Case47,Genetic arrhythmia panel testing,Not specified,Not specified,No,Yes,Not specified,No,No,Yes,,Yes,Yes,,Yes,Not specified,Not specified,Not listed,No,No,"Submit a prior authorization request including detailed clinical documentation supporting medical necessity, as per Aetna's policy requirements.",False,No,,No,,,,Single-gene testing for specific arrhythmia-related genes,,,,
Case17,Whole Genome Sequencing (WGS),Not specified,Not specified,No,No,Not required,No,No,Yes,,Not specified,No,,Not specified,No,Not specified,Not listed,No,No,Submit claims form with clinical rationale and physician’s order.,False,,,,,,,,CMA (Chromosomal Microarray Analysis),Other,,
Case32,BRCA1 and BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Yes,No,Yes,Ensure the patient undergoes genetic counseling by an independent board-certified genetic specialist prior to BRCA1/BRCA2 genetic testing. Obtain precertification for the genetic test as required by the policy.,False,Yes,USPSTF,Yes,Risk Assessment,81162,,,,,,
Case43,Cardiomyopathy gene panel,Not specified,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with documentation of medical necessity, including clinical features, family history, and the cardiologist's recommendation for the genetic test.",False,Yes,ACMG,Yes,Diagnostic,,,,,,,
Case19,Whole Genome Sequencing (WGS),Not specified,Yes,No,No,No,No,No,Yes,Whole Exome Sequencing (WES),Not specified,No,Diagnostic,Not specified,No,Not specified,Not listed,No,No,"Submit a precertification request through EviCore by Evernorth, including patient and provider information, rendering facility details, and supporting clinical information.",False,,,,,,,,,,,
Case4,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Not listed,No,Yes,"Submit prior authorization request including clinical documentation supporting medical necessity, genetic counseling records, and evidence of completed prerequisite evaluations.",False,Yes,ACMG,Yes,Diagnostic,,,,,,,
Case20,Whole Genome Sequencing (WGS),Not specified,Yes,Yes,Not specified,Not required,No,Yes,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Yes,"Submit the claim using the provider's portal with documentation from the ordering specialist, including letters of medical necessity and any required authorization forms.",False,,,,,,,,,,,
Case5,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical notes detailing the patient's symptoms, previous genetic testing results, and the rationale for ordering WES.",False,Yes,ACMG,,Diagnostic,,,,,,,
Case22,BRCA1/BRCA2 genetic testing,Yes,Yes,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including medical records and the ordering physician's notes, to Aetna for review.",False,No,,No,Risk Assessment,,,,,,,
Case31,BRCA1/2 testing,Not specified,Not specified,Yes,No,Not required,No,Yes,No,,Not specified,No,,Not specified,No,Not specified,Not listed,Yes,Yes,Steps not specified,False,,,,,,,,,,Diagnostic,Tumor testing
Case46,Mitochondrial DNA sequencing,Not specified,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical features, family history, and specialist recommendations.",False,Yes,ACMG,Yes,Diagnostic,,,,,,,
Case29,BRCA1/BRCA2 gene testing,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,No,Yes,Submit prior authorization request through the UnitedHealthcare Provider Portal or by phone at 877-303-7736 before performing the test.,False,Yes,NCCN,No,Diagnostic,81162,,,,,,
Case12,Whole Exome Sequencing (WES),Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Not specified,,Not specified,Not specified,,Not specified,Not specified,Not specified,Not specified,No,Not specified,Not specified,False,,,,,,,,,,,
Case6,Whole Exome Sequencing (WES),Not specified,Yes,Yes,No,Yes,No,Yes,No,,Not specified,No,,Not specified,No,Not specified,Not listed,No,Yes,"Submit a claim form along with the specialist's recommendation, any required prior authorization documentation, and medical necessity justification.",False,,,,,,,,,,,
Case21,BRCA1/BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,No,Yes,Submit a claim with the appropriate CPT code (81162) and ensure that the test was ordered by a qualified specialist. Include documentation of the patient's family history and the genetic counseling provided.,False,Yes,NCCN,Yes,Risk Assessment,81162,,,,,,
