retrieval_model,qna_model,case_id,accuracy,match,combo
chatgpt,perplexity,Case10,61.904761904761905,False,chatgpt_perplexity
chatgpt,perplexity,Case7,70.0,False,chatgpt_perplexity
chatgpt,perplexity,Case44,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case23,71.42857142857143,True,chatgpt_perplexity
chatgpt,perplexity,Case25,36.84210526315789,False,chatgpt_perplexity
chatgpt,perplexity,Case33,65.0,False,chatgpt_perplexity
chatgpt,perplexity,Case37,65.0,True,chatgpt_perplexity
chatgpt,perplexity,Case42,60.0,True,chatgpt_perplexity
chatgpt,perplexity,Case39,61.904761904761905,True,chatgpt_perplexity
chatgpt,perplexity,Case34,65.0,False,chatgpt_perplexity
chatgpt,perplexity,Case11,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case14,52.38095238095239,True,chatgpt_perplexity
chatgpt,perplexity,Case2,52.63157894736842,False,chatgpt_perplexity
chatgpt,perplexity,Case9,70.0,False,chatgpt_perplexity
chatgpt,perplexity,Case1,76.19047619047619,True,chatgpt_perplexity
chatgpt,perplexity,Case3,75.0,False,chatgpt_perplexity
chatgpt,perplexity,Case49,60.0,True,chatgpt_perplexity
chatgpt,perplexity,Case47,57.14285714285714,True,chatgpt_perplexity
chatgpt,perplexity,Case17,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case13,50.0,False,chatgpt_perplexity
chatgpt,perplexity,Case32,66.66666666666666,False,chatgpt_perplexity
chatgpt,perplexity,Case43,60.0,True,chatgpt_perplexity
chatgpt,perplexity,Case19,70.0,False,chatgpt_perplexity
chatgpt,perplexity,Case4,61.904761904761905,True,chatgpt_perplexity
chatgpt,perplexity,Case20,57.14285714285714,True,chatgpt_perplexity
chatgpt,perplexity,Case5,44.44444444444444,False,chatgpt_perplexity
chatgpt,perplexity,Case38,65.0,True,chatgpt_perplexity
chatgpt,perplexity,Case22,75.0,True,chatgpt_perplexity
chatgpt,perplexity,Case30,52.94117647058824,False,chatgpt_perplexity
chatgpt,perplexity,Case15,65.0,False,chatgpt_perplexity
chatgpt,perplexity,Case31,36.84210526315789,False,chatgpt_perplexity
chatgpt,perplexity,Case46,38.88888888888889,False,chatgpt_perplexity
chatgpt,perplexity,Case29,47.05882352941176,False,chatgpt_perplexity
chatgpt,perplexity,Case12,65.0,False,chatgpt_perplexity
chatgpt,perplexity,Case6,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case21,71.42857142857143,True,chatgpt_perplexity
chatgpt,perplexity,Case26,63.1578947368421,False,chatgpt_perplexity
chatgpt,perplexity,Case28,61.111111111111114,False,chatgpt_perplexity
chatgpt,perplexity,Case24,71.42857142857143,True,chatgpt_perplexity
chatgpt,perplexity,Case8,41.17647058823529,False,chatgpt_perplexity
chatgpt,perplexity,Case41,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case40,61.904761904761905,True,chatgpt_perplexity
chatgpt,perplexity,Case50,61.904761904761905,True,chatgpt_perplexity
chatgpt,perplexity,Case36,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case35,71.42857142857143,True,chatgpt_perplexity
chatgpt,perplexity,Case48,61.111111111111114,False,chatgpt_perplexity
chatgpt,perplexity,Case45,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case27,61.904761904761905,True,chatgpt_perplexity
chatgpt,perplexity,Case18,66.66666666666666,True,chatgpt_perplexity
chatgpt,perplexity,Case16,71.42857142857143,True,chatgpt_perplexity
chatgpt,chatgpt,Case10,52.63157894736842,False,chatgpt_chatgpt
chatgpt,chatgpt,Case7,75.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case23,71.42857142857143,True,chatgpt_chatgpt
chatgpt,chatgpt,Case25,57.14285714285714,False,chatgpt_chatgpt
chatgpt,chatgpt,Case33,60.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case37,63.1578947368421,False,chatgpt_chatgpt
chatgpt,chatgpt,Case42,52.63157894736842,False,chatgpt_chatgpt
chatgpt,chatgpt,Case39,60.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case34,57.89473684210527,False,chatgpt_chatgpt
chatgpt,chatgpt,Case9,57.89473684210527,False,chatgpt_chatgpt
chatgpt,chatgpt,Case1,71.42857142857143,True,chatgpt_chatgpt
chatgpt,chatgpt,Case3,80.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case49,52.38095238095239,False,chatgpt_chatgpt
chatgpt,chatgpt,Case17,63.1578947368421,False,chatgpt_chatgpt
chatgpt,chatgpt,Case13,65.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case32,61.904761904761905,False,chatgpt_chatgpt
chatgpt,chatgpt,Case19,55.55555555555556,False,chatgpt_chatgpt
chatgpt,chatgpt,Case4,66.66666666666666,True,chatgpt_chatgpt
chatgpt,chatgpt,Case38,57.89473684210527,False,chatgpt_chatgpt
chatgpt,chatgpt,Case22,75.0,True,chatgpt_chatgpt
chatgpt,chatgpt,Case30,52.63157894736842,False,chatgpt_chatgpt
chatgpt,chatgpt,Case15,73.68421052631578,False,chatgpt_chatgpt
chatgpt,chatgpt,Case31,47.368421052631575,False,chatgpt_chatgpt
chatgpt,chatgpt,Case29,60.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case12,47.368421052631575,False,chatgpt_chatgpt
chatgpt,chatgpt,Case6,70.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case21,80.95238095238095,True,chatgpt_chatgpt
chatgpt,chatgpt,Case26,66.66666666666666,False,chatgpt_chatgpt
chatgpt,chatgpt,Case24,66.66666666666666,True,chatgpt_chatgpt
chatgpt,chatgpt,Case41,27.77777777777778,False,chatgpt_chatgpt
chatgpt,chatgpt,Case40,40.0,False,chatgpt_chatgpt
chatgpt,chatgpt,Case50,52.63157894736842,False,chatgpt_chatgpt
chatgpt,chatgpt,Case36,61.904761904761905,False,chatgpt_chatgpt
chatgpt,chatgpt,Case35,66.66666666666666,False,chatgpt_chatgpt
chatgpt,chatgpt,Case27,61.904761904761905,True,chatgpt_chatgpt
chatgpt,chatgpt,Case16,45.0,False,chatgpt_chatgpt
perplexity,chatgpt,Case10,60.0,False,perplexity_chatgpt
perplexity,chatgpt,Case7,75.0,False,perplexity_chatgpt
perplexity,chatgpt,Case23,66.66666666666666,False,perplexity_chatgpt
perplexity,chatgpt,Case25,61.904761904761905,False,perplexity_chatgpt
perplexity,chatgpt,Case33,55.00000000000001,False,perplexity_chatgpt
perplexity,chatgpt,Case37,52.63157894736842,True,perplexity_chatgpt
perplexity,chatgpt,Case42,65.0,False,perplexity_chatgpt
perplexity,chatgpt,Case39,75.0,False,perplexity_chatgpt
perplexity,chatgpt,Case34,52.63157894736842,False,perplexity_chatgpt
perplexity,chatgpt,Case11,50.0,False,perplexity_chatgpt
perplexity,chatgpt,Case14,50.0,False,perplexity_chatgpt
perplexity,chatgpt,Case9,63.1578947368421,False,perplexity_chatgpt
perplexity,chatgpt,Case1,76.19047619047619,False,perplexity_chatgpt
perplexity,chatgpt,Case3,76.19047619047619,False,perplexity_chatgpt
perplexity,chatgpt,Case49,52.38095238095239,False,perplexity_chatgpt
perplexity,chatgpt,Case17,57.89473684210527,False,perplexity_chatgpt
perplexity,chatgpt,Case13,65.0,False,perplexity_chatgpt
perplexity,chatgpt,Case32,76.19047619047619,False,perplexity_chatgpt
perplexity,chatgpt,Case43,65.0,False,perplexity_chatgpt
perplexity,chatgpt,Case19,57.89473684210527,False,perplexity_chatgpt
perplexity,chatgpt,Case4,71.42857142857143,True,perplexity_chatgpt
perplexity,chatgpt,Case5,85.0,False,perplexity_chatgpt
perplexity,chatgpt,Case38,52.63157894736842,True,perplexity_chatgpt
perplexity,chatgpt,Case22,75.0,True,perplexity_chatgpt
perplexity,chatgpt,Case30,47.05882352941176,False,perplexity_chatgpt
perplexity,chatgpt,Case15,80.0,False,perplexity_chatgpt
perplexity,chatgpt,Case31,76.19047619047619,False,perplexity_chatgpt
perplexity,chatgpt,Case46,61.904761904761905,False,perplexity_chatgpt
perplexity,chatgpt,Case29,41.17647058823529,False,perplexity_chatgpt
perplexity,chatgpt,Case12,47.368421052631575,False,perplexity_chatgpt
perplexity,chatgpt,Case6,65.0,True,perplexity_chatgpt
perplexity,chatgpt,Case21,80.95238095238095,True,perplexity_chatgpt
